日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,"1,211.85","1,212.51","1,219.33","1,207.73",,-1.22%
2023-10-18,"1,226.84","1,229.89","1,229.89","1,219.91",,0.13%
2023-10-17,"1,225.22","1,233.29","1,237.00","1,220.45",,0.53%
2023-10-16,"1,218.79","1,228.21","1,232.90","1,214.64",,-1.62%
2023-10-13,"1,238.92","1,247.32","1,250.34","1,236.64",,-1.49%
2023-10-12,"1,257.68","1,250.11","1,258.66","1,248.30",,1.37%
2023-10-11,"1,240.71","1,242.79","1,246.16","1,239.30",,-0.23%
2023-10-10,"1,243.55","1,237.88","1,245.03","1,237.45",,1.44%
2023-10-06,"1,225.94","1,222.92","1,232.24","1,219.44",,0.36%
2023-10-05,"1,221.52","1,206.58","1,223.07","1,205.72",,2.04%
2023-10-04,"1,197.08","1,212.62","1,217.11","1,196.16",,-2.60%
2023-10-03,"1,228.98","1,248.40","1,249.05","1,228.39",,-2.16%
2023-10-02,"1,256.13","1,257.20","1,274.03","1,255.88",,0.51%
2023-09-29,"1,249.78","1,260.35","1,261.27","1,247.17",,-0.44%
2023-09-28,"1,255.30","1,256.79","1,263.74","1,249.60",,-1.62%
2023-09-27,"1,275.99","1,263.78","1,276.16","1,258.70",,0.30%
2023-09-26,"1,272.20","1,281.28","1,281.28","1,272.20",,-1.03%
2023-09-25,"1,285.46","1,283.80","1,288.11","1,278.95",,0.21%
2023-09-22,"1,282.77","1,282.06","1,288.59","1,276.78",,-0.65%
2023-09-21,"1,291.15","1,293.54","1,300.82","1,289.48",,-0.33%
2023-09-20,"1,295.42","1,307.68","1,308.39","1,295.42",,-0.74%
2023-09-19,"1,305.06","1,302.85","1,307.30","1,296.43",,-0.28%
2023-09-15,"1,308.73","1,308.49","1,312.23","1,305.31",,0.79%
2023-09-14,"1,298.42","1,289.94","1,299.90","1,288.72",,0.67%
2023-09-13,"1,289.81","1,295.39","1,295.39","1,286.04",,-0.48%
2023-09-12,"1,295.99","1,290.10","1,295.99","1,286.39",,0.91%
2023-09-11,"1,284.24","1,287.42","1,293.21","1,281.51",,0.27%
2023-09-08,"1,280.80","1,293.47","1,295.44","1,277.61",,-1.17%
2023-09-07,"1,296.01","1,297.65","1,304.17","1,295.14",,-0.76%
